shimazakinobuko, 48, 19740610, shimazaki610@example.co.jp
ishibashihideyoshi, 71, 19510601, ishibashi61@example.ne.jp
iharayoriko, 49, 19730711, iharayoriko@example.co.jp
takahashitarou, 65, 19571202, takahashi122@example.net
shimizumasayuki, 75, 19471203, shimizumasayuki@example.co.jp
oriharanaoto, 58, 19640929, orihara_naoto@example.ne.jp
andoutsuyoshi, 48, 19750410, andou_410@example.ne.jp
ogawayuuki, 77, 19460330, yuuki_ogawa@example.jp
itodaisuke, 77, 19460119, itodaisuke@example.jp
teradasatsuki, 75, 19480420, satsuki_terada@example.co.jp
